host_hostname,disk_bytes_read,disk_bytes_written,elapsed_time,name,path,start_time
Nano0102a,3.26 GB,116 bytes,22,TaniumClient.exe,C:\Program Files (x86)\Tanium\Tanium Client\TaniumClient.exe,2021-11-17 05:44:44
Nano0102a,47.1 KB,0 bytes,22,unsecapp.exe,C:\Windows\System32\wbem\unsecapp.exe,2021-11-17 05:44:49
Nano0102a,291.98 MB,170.93 MB,22,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-11-17 05:44:49
Nano0102a,27.14 KB,0 bytes,22,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-17 05:44:58
Nano0102a,397.94 KB,8.73 KB,22,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-11-17 05:46:59
Nano0102a,579.8 MB,97.34 KB,22,MicrosoftEdgeUpdate.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,2021-11-17 05:47:00
Nano0102a,65.82 MB,2.04 MB,22,SearchIndexer.exe,C:\Windows\System32\SearchIndexer.exe,2021-11-17 05:47:02
Nano0102a,411.4 KB,0 bytes,22,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-11-17 05:47:34
Nano0102a,2.96 MB,0 bytes,21,csrss.exe,C:\Windows\System32\csrss.exe,2021-11-17 05:56:14
Nano0102a,829.89 KB,1.6 KB,21,winlogon.exe,C:\Windows\System32\winlogon.exe,2021-11-17 05:56:14
Nano0102a,2.46 MB,3.06 MB,21,taskhost.exe,C:\Windows\System32\taskhost.exe,2021-11-17 05:56:20
Nano0102a,838.12 KB,0 bytes,21,ccSvcHst.exe,C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\12.1.7061.6600.105\Bin\ccSvcHst.exe,2021-11-17 05:56:20
Nano0102a,120.38 KB,0 bytes,21,dwm.exe,C:\Windows\System32\dwm.exe,2021-11-17 05:56:21
Nano0102a,547.95 MB,443.13 MB,21,explorer.exe,C:\Windows\explorer.exe,2021-11-17 05:56:22
Nano0102a,1.66 MB,2.4 MB,21,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-11-17 05:56:23
Nano0102a,2.9 MB,8.39 MB,21,wmpnetwk.exe,C:\Program Files\Windows Media Player\wmpnetwk.exe,2021-11-17 05:56:30
Nano0102a,65.98 MB,221.55 MB,21,NanoNTDevelopment.exe,C:\Program Files (x86)\SanDisk\NanoNTDevelopment\NanoNTDevelopment 12.7\Bin\NanoNTDevelopment.exe,2021-11-17 06:08:32
Nano0102a,3.24 MB,76 KB,21,PyScriptEditor.exe,C:\Program Files (x86)\SanDisk\NanoNTDevelopment\NanoNTDevelopment 12.4\Bin\PyScriptEditor.exe,2021-11-17 06:08:37
Nano0102a,152.77 MB,39.09 MB,4,CcmExec.exe,C:\Windows\CCM\CcmExec.exe,2021-12-04 09:26:41
Nano0102a,984.77 KB,164.35 KB,4,SCNotification.exe,C:\Windows\CCM\SCNotification.exe,2021-12-04 09:28:42
Nano0102a,957.31 KB,0 bytes,3,cmd.exe,C:\Windows\SysWOW64\cmd.exe,2021-12-05 12:53:47
Nano0102a,351.61 KB,0 bytes,3,conhost.exe,C:\Windows\System32\conhost.exe,2021-12-05 12:53:47
Nano0102a,378.56 MB,40.19 KB,3,cscript.exe,C:\Windows\SysWOW64\cscript.exe,2021-12-05 12:53:48
Nano0102a,135.41 MB,150.52 MB,1,orbit.exe,C:\Program Files\Orbit\bin\orbit\orbit.exe,2021-12-07 20:27:16
Nano0102a,123.9 MB,4 bytes,1,osqueryd.exe,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,2021-12-07 20:27:24
Nano0102a,351.87 KB,0 bytes,1,conhost.exe,C:\Windows\System32\conhost.exe,2021-12-07 20:27:27
Nano0102a,74.4 MB,1.7 MB,1,osqueryd.exe,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,2021-12-07 20:27:28
Nano0102a,202.04 KB,0 bytes,0,taskhost.exe,C:\Windows\System32\taskhost.exe,2021-12-08 08:02:32
Nano0102a,2.77 GB,64.93 MB,0,TaniumClient.exe,C:\Program Files (x86)\Tanium\Tanium Client\TaniumClient.exe,2021-12-08 15:13:50
Nano0102a,351.13 KB,0 bytes,0,conhost.exe,C:\Windows\System32\conhost.exe,2021-12-08 15:13:51
Nano0102a,36.97 MB,70.89 KB,0,TaniumClient.exe,C:\Program Files (x86)\Tanium\Tanium Client\TaniumClient.exe,2021-12-08 17:51:22
Nano0102a,398.5 KB,0 bytes,0,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-12-08 17:52:04
Sack,-1 bytes,-1 bytes,0,[System Process],,1969-12-31 23:59:59
Sack,669.97 MB,9.2 GB,45,System,,2021-10-24 23:22:59
Sack,67.09 KB,20 bytes,45,smss.exe,C:\Windows\System32\smss.exe,2021-10-24 23:22:59
Sack,38.28 MB,0 bytes,45,csrss.exe,C:\Windows\System32\csrss.exe,2021-10-24 23:23:04
Sack,7.17 KB,0 bytes,45,wininit.exe,C:\Windows\System32\wininit.exe,2021-10-24 23:23:06
Sack,104.56 MB,698.33 MB,45,services.exe,C:\Windows\System32\services.exe,2021-10-24 23:23:06
Sack,142.25 MB,222.51 MB,45,lsass.exe,C:\Windows\System32\lsass.exe,2021-10-24 23:23:06
Sack,0 bytes,0 bytes,45,lsm.exe,C:\Windows\System32\lsm.exe,2021-10-24 23:23:06
Sack,349.36 MB,25.2 KB,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
Sack,0 bytes,0 bytes,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
Sack,683.88 MB,105.62 MB,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
Sack,1.66 GB,3.1 GB,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
Sack,113.99 KB,4.26 KB,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
Sack,31.64 GB,3.05 GB,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
Sack,69 bytes,33 bytes,45,stacsv64.exe,C:\Program Files\IDT\WDM\stacsv64.exe,2021-10-24 23:23:10
Sack,388.51 MB,226.77 MB,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:12
Sack,1.27 KB,320 bytes,45,spoolsv.exe,C:\Windows\System32\spoolsv.exe,2021-10-24 23:23:12
Sack,388.69 MB,16.51 MB,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:12
Sack,287.2 KB,2.09 KB,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:12
Sack,1 byte,1.09 KB,45,HeciServer.exe,C:\Program Files\Intel\iCLS Client\HeciServer.exe,2021-10-24 23:23:12
Sack,0 bytes,0 bytes,45,Jhi_service.exe,C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL\Jhi_service.exe,2021-10-24 23:23:12
Sack,20.74 MB,7.11 GB,45,orbit.exe,C:\Program Files\Orbit\bin\orbit\orbit.exe,2021-10-24 23:23:13
Sack,262.16 KB,57.35 KB,45,osqueryd.exe,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,2021-10-24 23:23:14
Sack,0 bytes,0 bytes,45,conhost.exe,C:\Windows\System32\conhost.exe,2021-10-24 23:23:14
