_id,disk_bytes_read,disk_bytes_written,elapsed_time,host_hostname,name,path,start_time
619db92e73459a10a4a1fff7,271.75 KB,0 bytes,5,STBOXX60,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,2021-11-11 16:33:22
619db92e73459a10a4a1fff8,0 bytes,0 bytes,5,STBOXX60,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,2021-11-11 16:33:23
619db92e73459a10a4a1fff9,64.21 KB,25.28 KB,5,STBOXX60,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,2021-11-11 16:33:24
619db92e73459a10a4a1fffa,37.16 KB,8 bytes,5,STBOXX60,TextInputHost.exe,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp\TextInputHost.exe,2021-11-11 16:33:25
619db92e73459a10a4a1fffb,3.4 GB,6.31 GB,5,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-11 16:33:29
619db92e73459a10a4a1fffc,165.47 KB,2.86 KB,5,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-11 16:33:29
619db92e73459a10a4a1fffd,4.2 GB,4.3 GB,5,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-11 16:33:30
619db92e73459a10a4a1fffe,548.56 MB,2.1 GB,5,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-11 16:33:30
619db92e73459a10a4a1ffff,38.58 MB,65.29 MB,5,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-11 16:33:30
619db92e73459a10a4a20000,0 bytes,0 bytes,5,STBOXX60,SecurityHealthSystray.exe,C:\Windows\System32\SecurityHealthSystray.exe,2021-11-11 16:33:31
619db92e73459a10a4a20001,181.44 KB,4.1 KB,5,STBOXX60,SecurityHealthService.exe,C:\Windows\System32\SecurityHealthService.exe,2021-11-11 16:33:31
619db92e73459a10a4a20002,0 bytes,0 bytes,5,STBOXX60,RtkNGUI64.exe,C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe,2021-11-11 16:33:32
619db92e73459a10a4a20003,0 bytes,0 bytes,5,STBOXX60,RAVBg64.exe,C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe,2021-11-11 16:33:32
619db92e73459a10a4a20004,105.23 MB,667 bytes,5,STBOXX60,IAStorIcon.exe,C:\Program Files (x86)\Intel\Intel(R) Rapid Storage Technology enterprise\IAStorIcon.exe,2021-11-11 16:33:33
619db92e73459a10a4a20005,145.47 KB,8 bytes,5,STBOXX60,DellPoaEvents.exe,C:\Program Files\Dell\PPO\DellPoaEvents\DellPoaEvents.exe,2021-11-11 16:33:34
619db92e73459a10a4a20006,0 bytes,0 bytes,5,STBOXX60,unsecapp.exe,C:\Windows\System32\wbem\unsecapp.exe,2021-11-11 16:33:35
